Day,Week,ID,Replicate,Treatment,Stressor_app,Light_level,Light_conc,Diuron_level,Diuron_conc,Avg_Photo_Total,Day0PE
2,3,8G,7,8,StaticStatic,Low Light,25,High Herbicide,2,0.6635,0.78775
2,3,8H,8,8,StaticStatic,Low Light,25,High Herbicide,2,0.766,0.80075
2,3,8I,9,8,StaticStatic,Low Light,25,High Herbicide,2,0.76275,0.7945
2,4,8J,10,8,StaticStatic,Low Light,25,High Herbicide,2,0.744,0.7995
2,4,8K,11,8,StaticStatic,Low Light,25,High Herbicide,2,0.72975,0.7525
2,4,8L,12,8,StaticStatic,Low Light,25,High Herbicide,2,0.767,0.78825
4,1,8A,1,8,StaticStatic,Low Light,25,High Herbicide,2,0.652,0.8045
4,1,8B,2,8,StaticStatic,Low Light,25,High Herbicide,2,0.7725,0.78275
4,1,8C,3,8,StaticStatic,Low Light,25,High Herbicide,2,0.42175,0.74825
4,2,8D,4,8,StaticStatic,Low Light,25,High Herbicide,2,0.54575,0.7965
4,2,8E,5,8,StaticStatic,Low Light,25,High Herbicide,2,0.69975,0.782
4,2,8F,6,8,StaticStatic,Low Light,25,High Herbicide,2,0.75225,0.77575
4,3,8G,7,8,StaticStatic,Low Light,25,High Herbicide,2,0.59675,0.78775
4,3,8H,8,8,StaticStatic,Low Light,25,High Herbicide,2,0.763,0.80075
4,3,8I,9,8,StaticStatic,Low Light,25,High Herbicide,2,0.73375,0.7945
4,4,8J,10,8,StaticStatic,Low Light,25,High Herbicide,2,0.74275,0.7995
4,4,8K,11,8,StaticStatic,Low Light,25,High Herbicide,2,0.7055,0.7525
4,4,8L,12,8,StaticStatic,Low Light,25,High Herbicide,2,0.75925,0.78825
6,1,8A,1,8,StaticStatic,Low Light,25,High Herbicide,2,0.29075,0.8045
6,1,8B,2,8,StaticStatic,Low Light,25,High Herbicide,2,0.34325,0.78275
6,1,8C,3,8,StaticStatic,Low Light,25,High Herbicide,2,0.6575,0.74825
6,2,8D,4,8,StaticStatic,Low Light,25,High Herbicide,2,0.6195,0.7965
6,2,8E,5,8,StaticStatic,Low Light,25,High Herbicide,2,0.6725,0.782
6,2,8F,6,8,StaticStatic,Low Light,25,High Herbicide,2,0.7725,0.77575
6,3,8G,7,8,StaticStatic,Low Light,25,High Herbicide,2,0.5535,0.78775
6,3,8H,8,8,StaticStatic,Low Light,25,High Herbicide,2,0.675,0.80075
6,3,8I,9,8,StaticStatic,Low Light,25,High Herbicide,2,0.75125,0.7945
6,4,8J,10,8,StaticStatic,Low Light,25,High Herbicide,2,0.39725,0.7995
6,4,8K,11,8,StaticStatic,Low Light,25,High Herbicide,2,0.5895,0.7525
6,4,8L,12,8,StaticStatic,Low Light,25,High Herbicide,2,0.7525,0.78825
7,1,8A,1,8,StaticStatic,Low Light,25,High Herbicide,2,0.60025,0.8045
7,1,8B,2,8,StaticStatic,Low Light,25,High Herbicide,2,0.69625,0.78275
7,1,8C,3,8,StaticStatic,Low Light,25,High Herbicide,2,0.4055,0.74825
7,2,8F,6,8,StaticStatic,Low Light,25,High Herbicide,2,0.74675,0.77575
7,2,8D,4,8,StaticStatic,Low Light,25,High Herbicide,2,0.65125,0.7965
7,2,8E,5,8,StaticStatic,Low Light,25,High Herbicide,2,0.5685,0.782
7,3,8G,7,8,StaticStatic,Low Light,25,High Herbicide,2,0.66175,0.78775
7,3,8H,8,8,StaticStatic,Low Light,25,High Herbicide,2,0.656,0.80075
7,3,8I,9,8,StaticStatic,Low Light,25,High Herbicide,2,0.63775,0.7945
7,4,8L,12,8,StaticStatic,Low Light,25,High Herbicide,2,0.63175,0.78825
7,4,8J,10,8,StaticStatic,Low Light,25,High Herbicide,2,0.3415,0.7995
7,4,8K,11,8,StaticStatic,Low Light,25,High Herbicide,2,0.08975,0.7525
2,1,10A,1,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.695,0.74475
2,1,10B,2,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.44775,0.77475
2,1,10C,3,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.477,0.781
2,2,10D,4,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.72275,0.73975
2,2,10E,5,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.67125,0.6935
2,2,10F,6,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.6765,0.76375
2,3,10G,7,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.72225,0.7245
2,3,10H,8,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.7145,0.78325
2,3,10I,9,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.6935,0.789
2,4,10J,10,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.72325,0.8
2,4,10K,11,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.7205,0.8125
2,4,10L,12,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.71725,0.79475
4,1,10A,1,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.71325,0.74475
4,1,10B,2,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.2595,0.77475
4,1,10C,3,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.55025,0.781
4,2,10D,4,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.49175,0.73975
4,2,10E,5,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.4045,0.6935
4,2,10F,6,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.75225,0.76375
4,3,10G,7,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.711,0.7245
4,3,10H,8,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.75675,0.78325
4,3,10I,9,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.6555,0.789
4,4,10J,10,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.72025,0.8
4,4,10K,11,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.715,0.8125
4,4,10L,12,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.46,0.79475
6,1,10A,1,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.601,0.74475
6,1,10B,2,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.444,0.77475
6,1,10C,3,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.609545455,0.781
6,2,10D,4,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.563,0.73975
6,2,10E,5,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.5615,0.6935
6,2,10F,6,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.7245,0.76375
6,3,10G,7,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.549,0.7245
6,3,10H,8,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.56825,0.78325
6,3,10I,9,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.721,0.789
6,4,10J,10,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.6575,0.8
6,4,10K,11,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.639,0.8125
6,4,10L,12,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.67625,0.79475
7,1,10A,1,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.71275,0.74475
7,1,10B,2,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.23375,0.77475
7,1,10C,3,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.66325,0.781
7,2,10F,6,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.22525,0.76375
7,2,10D,4,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.5985,0.73975
7,2,10E,5,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.6075,0.6935
7,3,10G,7,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.7145,0.7245
7,3,10H,8,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.672,0.78325
7,3,10I,9,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.644,0.789
7,4,10L,12,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.693,0.79475
7,4,10J,10,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.6305,0.8
7,4,10K,11,10,StaticFlux,Medium Light,75,Medium Herbicide,1,0.65,0.8125
2,1,11A,1,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.4845,0.7755
2,1,11B,2,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.73925,0.79975
2,1,11C,3,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.63725,0.797
2,2,11D,4,11,StaticFlux,Low Light,25,Medium Herbicide,1,0.7685,0.76275
